,author
0,[以色列] 尤瓦尔·赫拉利/林俊宏
1,[英] 马修·沃克/田盈春
2,[意] 卡洛·罗韦利/杨光
3,[以] 尤瓦尔·赫拉利/林俊宏
4,[英] 比尔·布莱森/闾佳
5,曹天元
6,[美] 侯世达
7,【德】朱莉娅·恩德斯/钱为
8,[美] G. 伽莫夫/暴永宁 译、吴伯泽 校
9,[美] 阿图·葛文德（Atul Gawande）/彭小华
10,【美】史蒂夫·斯托加茨（Steven Strogatz）/任烨
11,[瑞典] 帕特里克•斯文松/徐昕
12,罗翔
13,[美] 悉达多·穆克吉/李虎
14,林欣浩
15,[美] 贾雷德·戴蒙德/谢延光
16,[英] 史蒂芬·霍金/许明贤、吴忠超
17,[德]耶尔•阿德勒 (Yael Adler)、[德]卡提雅•史匹哲 (Katja Spitzer )  绘/刘立
18,[英] 米莉·玛洛塔/孙依静
19,[英] 尼克·莱恩（Nick Lane）/严曦
20,薄世宁
21,郑子宁
22,[英]理查德·道金斯/卢允中、张岱云、陈复加、罗小舟
23,六层楼
24,[英] 埃德温·A·艾勃特/鲁冬旭
25,夏萌
26,薛兆丰
27,[英] 迪安·博内特/朱机
28,少年儿童出版社
29,[加] 瑞安·诺思/王乔琦
30,[瑞典] 汉斯·罗斯林、[瑞典] 欧拉·罗斯林、[瑞典]  安娜·罗斯林·罗朗德/张征
31,【英】马特·摩根/苗小迪 译、赵芳 审校
32,[美] 理查德·普雷斯顿/姚向辉
33,[美] 凯瑟琳·埃班/高天羽
34,[美国] 比尔·盖茨/陈召强
35,[英] 加文·普雷特-平尼/王燕平、张超
36,王力 主编、马汉麟 等执笔、姜亮夫 叶圣陶 等审校、刘乐园 修订
37,马克·米奥多尼克/赖盈满
38,星球研究所、中国青藏高原研究会
39,西蒙·辛格/薛密
40,[意] 卡洛·罗韦利/文铮、陶慧慧
41,张羽
42,彼得·希夫、安德鲁·希夫/胡晓姣、吕靖纬、陈志超
43,菠萝
44,罗杰•霍克 (Roger R. Hock)/白学军
45,吴杰臻
46,[美] Charles Petzold/左飞、薛佟佟
47,吴军
48,张辰亮
49,[英]苏珊·格林菲尔德/韩萌、范穹宇、李贯峰
50,陈磊·混知团队、张文宏
51,[美]卡尔·齐默/刘旸
52,陈磊·半小时漫画团队
53,[法] 克里斯托弗·加尔法德
54,[美]兰道尔·门罗/Ent
55,[澳] 彼得·戈弗雷-史密斯、Peter Godfrey-Smith/黄颖
56,[英] 蒂姆·斯佩克特/李超群
57,[美] 乔治·伽莫夫/阳曦
58,"[美] 加来道雄（Kaku, M）/刘玉玺、曹志良"
59,[日] 牧田善二/肖爽、梁永宣
60,埃尔温•薛定谔/罗来欧、罗辽复
61,［英］埃德·扬/郑李
62,陈禄仕
63,张笑宇
64,英国DK公司 [编著]/王敏洁、朱坤、吴海峰、何长欢、张兴春、张劲硕、林然、郑浩然、姜景一
65,[英] 斯蒂芬·韦斯塔比/高天羽
66,梅拉妮·米歇尔/唐璐
67,杰弗里·韦斯特 (Geoffrey West)/张培
68,R•柯朗、H•罗宾、I·斯图尔特/左平、张饴慈
69,[巴拿马] 豪尔赫•陈、[美] 丹尼尔·怀特森/苟利军、张晓佳、郝小楠
70,[澳]约翰·赫斯特（John Hirst）/席玉苹
71,[美] 南茜·罗斯·胡格（Nancy Ross Hugo）、[美] 罗伯特·卢埃林（Robert Llewellyn）
72,［美］马丁•布莱泽/傅贺、严青（校）
73,[英]亚当•尼科尔森 著；[英]凯特•博克瑟 绘/木草草
74,[英] 尼克·莱恩/梅苃芢
75,[美] 悉达多·穆克吉/马向涛
76,[美]沙龙·莫勒姆（Sharon Moalem）、[美]乔纳森·普林斯（Jonathan Prince）/程纪莲
77,尼尔·德格拉斯·泰森/孙正凡
78,[法] 米卡埃尔·洛奈（Mickaël Launay）/孙佳雯
79,[美] 理查德·格里格、菲利普·津巴多/王垒、王甦 等
80,[英]史蒂芬·霍金/吴忠超
81,［美］丹•艾瑞里/赵德亮、夏蓓洁
82,花蚀
83,[美] 克丽丝蒂 • 威尔科克斯（Christie Wilcox）/阳曦
84,汪洁
85,康拉德•洛伦茨/刘志良
86,[美] 比尔·布莱森/严维明、陈邕
87,[美]理查德·德威特/孙天
88,[美] 戴维•乔治•哈斯凯尔
89,(英) 巴赫拉姆 ·莫巴舍尔 (Bahram Mobasher)/李永学
90,基思•斯坦诺维奇/窦东徽、刘肖岑
91,[挪威] 乔斯坦·贾德/萧宝森
92,王立铭
93,[美] 理查德·费曼
94,[英] 理查德·道金斯/卢允中;张岱云;陈复加;罗小舟;叶盛
95,[美]卡尔·萨根(Carl Sagan)/陈冬妮
96,梅雷迪丝·瓦德曼/罗爽
97,[日]户根勤/周自恒
98,[美] 克里斯托弗·威廉斯、Christopher Williams/王业瑾
99,(美) 贾内尔·沙内/余天呈
100,[美] 贾雷德·戴蒙德/魏薇
101,[美] 布赖恩·格林/李泳
102,[美] 凯博文/姚灏
103,莉迪亚•康、内特•彼得森/王秀莉、赵一杰
104,[意]斯特凡诺·曼库索/金佳音
105,［日］田中正人、［日］香月孝史/刘晓晓
106,[美] 蕾切尔·卡森/吕瑞兰、李长生
107,[美] 詹姆斯·格雷克/高博
108,卡尔·萨根 (Carl Sagan)/叶式辉、黄一勤
109,[美] 阿瑟·格蒂斯、[美] 朱迪丝·格蒂斯、[美] 杰尔姆·D.费尔曼/黄润华、韩慕康、孙颖
110,[美]史蒂夫·布鲁萨特/李凤阳
