,book_num,book_name,author,book_type,book_price,book_inventory,book_score,book_description,book_sales,comment_nums,publisher_id
0,202105161857128109,人类简史-从动物到上帝,[以色列] 尤瓦尔·赫拉利/林俊宏,科技,0,622,9.1,十万年前，地球上至少有六种不同的人但今日，世界舞台为什么只剩下了我们自己？从只能啃食虎狼吃剩的残骨的猿人，到跃居食物链顶端的智人，从雪维洞穴壁上的原始... ,566,152619,1
1,202105161857129737,我们为什么要睡觉？,[英] 马修·沃克/田盈春,科技,0,500,8.6,比尔·盖茨精选推荐！2020年卡尔·萨根科普奖得主马修·沃克成名作品《纽约时报》畅销书排行榜NO.1全景呈现熟悉又陌生的睡梦领域，让你轻松获得一夜好眠... ,12,530,2
2,202105161857129838,时间的秩序,[意] 卡洛·罗韦利/杨光,科技,0,959,8.9,为什么我们记得过去，而非未来？时间“流逝”意味着什么？是我们存在于时间之内，还是时间存在于我们之中？卡洛·罗韦利用诗意的文字，邀请我们思考这一亘古难题——时... ,647,14238,3
3,202105161857124338,人类简史-从动物到上帝,[以] 尤瓦尔·赫拉利/林俊宏,科技,0,325,9.1,【内容简介】十万年前，地球上至少有六种不同的人，但今日，世界舞台为什么只剩下我们自己？从只能啃食虎狼吃剩残骨的猿人，到跃居食物链顶端的智人，从雪维洞... ,718,24579,4
4,202105161857123640,人体简史-你的身体30亿岁了,[英] 比尔·布莱森/闾佳,科技,0,524,8.6,你的身体30亿岁了！一部从头讲到脚、从里讲到外、从30亿年前讲到今天的人体百科全书！从30亿年前漂浮在浅海里的单细胞斑点开始，制造你身体的基因就已经存在... ,705,2270,5
5,202105161857123949,上帝掷骰子吗-量子物理史话,曹天元,科技,32,953,9.2,《上帝掷骰子吗》这本书是关于量子论的故事。量子论是一个极为奇妙的理论：从物理角度来说，它在科学家中间引起了最为激烈的争议和关注；从现实角度来说，它给我们的社... ,234,26813,6
6,202105161857127115,哥德尔、艾舍尔、巴赫-集异璧之大成,[美] 侯世达,科技,0,567,9.4,集异璧－GEB，是数学家哥德尔、版画家艾舍尔、音乐家巴赫三个名字的前缀。《哥德尔、艾舍尔、巴赫书：集异璧之大成》是在英语世界中有极高评价的科普著作，曾获得普... ,735,6951,7
7,202105161857128909,肠子的小心思,【德】朱莉娅·恩德斯/钱为,科技,0,443,8.9,【内容简介】《肠子的小心思》是德国图书界的黑马，口嫌体正直的德国人，一面对粑粑说着“不要不要”，一面看得好污好欢乐。原来，德国人觉得理所当然的马桶竟是痔疮... ,708,8325,8
8,202105161857121245,从一到无穷大-科学中的事实和臆测,[美] G. 伽莫夫/暴永宁 译、吴伯泽 校,科技,0,419,9.1,《从一到无穷大：科学中的事实和臆测》是当今世界最有影响的科普经典名著之一，1970年代末由科学出版社引进出版后，曾在国内引起很大反响，直接影响了众多的科普工... ,126,11246,9
9,202105161857125107,最好的告别-关于衰老与死亡，你必须知道的常识,[美] 阿图·葛文德（Atul Gawande）/彭小华,科技,0,634,9.0,当独立、自助的生活不能再维持时，我们该怎么办？在生命临近终点的时刻，我们该和医生谈些什么？应该如何优雅地跨越生命的终点？对于这些问题，大多数人缺少清晰的观念... ,505,31951,10
10,202105161857127370,微积分的力量,【美】史蒂夫·斯托加茨（Steven Strogatz）/任烨,科技,0,583,8.7,微积分是人类历史上的伟大思想成就之一，也是数学领域不可或缺的一个重要分支。除此之外，我们更应该关注的事实是：如果没有微积分，人类就不可能发明电视、微波炉、移... ,673,156,4
11,202105161857124608,鳗鱼的旅行-一场对目标与意义的探寻,[瑞典] 帕特里克•斯文松/徐昕,科技,0,830,8.8,一本和鳗鱼一样难以被定义的奇书，关于鳗鱼，更关于生命本身：从鳗鱼笨拙又浪漫的生命之旅，抵达深刻又感动的生命之谜瑞典现象级畅销书，出版3个月印量高达... ,96,2442,11
12,202105161857129809,刑法学讲义,罗翔,科技,68,773,8.4,全网爆红的“法律男神”罗翔教授为每一位普通读者写的刑法普及讲义。刑法与每个人的生活都密不可分，家庭、校园、职场、人际关系、经济活动处处都有违法犯罪行为，相... ,86,3265,12
13,202105161857122278,众病之王-癌症传,[美] 悉达多·穆克吉/李虎,科技,0,386,9.1,《众病之王：癌症传》是一部饱含人文主义色彩的社科文化著作。作者悉达多•穆克吉历时六年，凭借翔实的历史资料、专业文献、媒体报道、患者专访等众多信息，向读者阐述... ,25,9823,1
14,202105161857122712,哲学家们都干了些什么-史上最严谨又最不严肃的哲学史,林欣浩,科技,52,934,8.6,“哲学史写得这么浅白风趣八卦，你让我们哲学系的人还怎么混？！”轰动豆瓣的奇葩之书，连续三年蝉联豆瓣电子阅读榜第一的神作经作者全面修订后，2015年重新问... ,740,19315,13
15,202105161857121193,枪炮、病菌与钢铁-人类社会的命运,[美] 贾雷德·戴蒙德/谢延光,科技,0,660,8.7,为什么是欧亚大陆人征服、赶走或大批杀死印第安人、澳大利亚人和非洲人，而不是相反？为什么么小麦和玉米、牛和猪以及现代世界的其他一些“不了起的”作物和牲畜出现在... ,743,37907,14
16,202105161857127062,时间简史-插图本,[英] 史蒂芬·霍金/许明贤、吴忠超,科技,0,202,8.8,《时间简史》讲述是探索时间和空间核心秘密的故事，是关于宇宙本性的最前沿知识，包括我们的宇宙图像、空间和时间、膨胀的宇宙不确定性原理、基本粒子和自然的力、黑洞... ,731,52132,3
17,202105161857122498,皮肤的秘密-关于人体最大器官的一切,[德]耶尔•阿德勒 (Yael Adler)、[德]卡提雅•史匹哲 (Katja Spitzer )  绘/刘立,科技,0,568,8.0,【2020年文津图书奖推荐图书！】**关于皮肤的17堂课！解读关于人体最大器官的一切！*内附插图，双色印刷，俏皮生动**30多国畅销的科学护肤指南... ,323,5252,15
18,202105161857129622,地球上最孤单的动物-43种濒危动物插画集,[英] 米莉·玛洛塔/孙依静,科技,0,144,9.1,芳踪难觅的栗腹鹭，钟爱旅行的勺嘴鹬感情专一的虎尾海马，雌雄难辨的曲纹唇鱼从海洋到森林，由沙漠至淡水从草原到山脉，由湿地至苔原43 种来自全球各地的野... ,233,1986,16
19,202105161857126124,复杂生命的起源,[英] 尼克·莱恩（Nick Lane）/严曦,科技,0,452,9.3,英国皇家学会科学图书奖和生物化学学会奖得主全新力作从生物能量学新探简单细菌一跃变成复杂真核细胞的内共生事件追问40亿年间生命到底为何这样演化◎ 编辑推... ,683,372,17
20,202105161857125614,薄世宁医学通识讲义-一生需要上一次医学院,薄世宁,科技,69,251,8.8,医学，面对的是复杂的生命现象，既是最新科学技术的主战场，也是人类自我关怀和探寻生命意义的最前沿。人在一生中，难免要面对疾病的来临与生命的诘问，以医学的思维面... ,798,2533,4
21,202105161857125069,中国话,郑子宁,科技,48,171,7.8,☆侦探小说般层层推进的语言学科普☆九大领域诠释中国话的前世今生☆重新发现中国人的文化史▎编辑推荐九大领域解读中国话的起源与传播重新发现中国人的文化... ,750,476,18
22,202105161857126344,自私的基因,[英]理查德·道金斯/卢允中、张岱云、陈复加、罗小舟,科技,0,642,8.5,《自私的基因》是20世纪最经典的著作，这版三十周年纪念版，在前版本基础上有两章增补和修订。我们从哪里来，又将到哪里去。生命有何意义，我们该如何认知自己？《自... ,237,14326,1
23,202105161857127279,女生呵护指南-一定要知道的关于女生的那些事儿,六层楼,科技,78,834,8.2,从“大姨妈”的初次拜访开始，女生就和这位“亲戚”有了扯不断的关系。从小女孩逐渐成长为魅力女性的过程中，除了欣喜和向往，随之而来的还有迷茫、敏感、难言和不安。... ,142,3477,19
24,202105161857129212,未来简史,[以色列] 尤瓦尔·赫拉利/林俊宏,科技,0,569,8.4,进入21世纪后，曾经长期威胁人类生存、发展的瘟疫、饥荒和战争已经被攻克，智人面临着新的待办议题：永生不老、幸福快乐和成为具有“神性”的人类。在解决这些新问题... ,167,45894,4
25,202105161857129437,平面国-多维空间传奇往事,[英] 埃德温·A·艾勃特/鲁冬旭,科技,0,395,9.2,"很难简单概括《平面国》这本书。它可以是：首次解释""维度""概念的科普读物、脑洞大开的科幻小说、煞有介事的数学童话、剑走偏锋的精神启蒙、辛辣讽喻英国维多利亚时... ",158,2874,20
26,202105161857121074,你是你吃出来的-吃对少生病，病了这样吃,夏萌,科技,49,447,8.9,《你是你吃出来的》是前安贞医院营养科主任夏萌总结自身患病经历和10万 临床病例写成。高血压、高血脂、糖尿病、冠心病等慢病人群都曾陷入同一个误区——误以为低... ,189,3621,21
27,202105161857124656,薛兆丰经济学讲义-来自超过25万人的经济学课堂,薛兆丰,科技,68,558,8.2,我们每天收到无数纷繁复杂的信息，看到各种光怪陆离的现象，世界是复杂的。世界又并不复杂，只是你需要一双慧眼。经济学是一种帮助你成为明白人的智慧，它是观察世界... ,26,12562,1
28,202105161857122985,是我把你蠢哭了吗,[英] 迪安·博内特/朱机,科技,0,282,8.3,神经科学家戳破大脑的聪明假象人们都以为这东西是聪慧和进步的演化产物，可实际上它又混乱无序又容易犯错！◎ 编辑推荐☆听被科学耽误的单口喜剧演员讲大脑，带... ,41,320,22
