book_name,book_pic,book_score,book_type,comment_nums,author,publisher,publisher_address,book_price,book_description
人类简史-从动物到上帝,https://img2.doubanio.com/view/subject/s/public/s27814883.jpg,9.1,科技,152619,[以色列] 尤瓦尔·赫拉利/林俊宏,中信出版社,中信,0,十万年前，地球上至少有六种不同的人但今日，世界舞台为什么只剩下了我们自己？从只能啃食虎狼吃剩的残骨的猿人，到跃居食物链顶端的智人，从雪维洞穴壁上的原始... 
我们为什么要睡觉？,https://img1.doubanio.com/view/subject/s/public/s33821128.jpg,8.6,科技,530,[英] 马修·沃克/田盈春,后浪丨北京联合出版公司,后浪丨北京联合,0,比尔·盖茨精选推荐！2020年卡尔·萨根科普奖得主马修·沃克成名作品《纽约时报》畅销书排行榜NO.1全景呈现熟悉又陌生的睡梦领域，让你轻松获得一夜好眠... 
时间的秩序,https://img3.doubanio.com/view/subject/s/public/s32332471.jpg,8.9,科技,14238,[意] 卡洛·罗韦利/杨光,湖南科学技术出版社,湖南科学技术,0,为什么我们记得过去，而非未来？时间“流逝”意味着什么？是我们存在于时间之内，还是时间存在于我们之中？卡洛·罗韦利用诗意的文字，邀请我们思考这一亘古难题——时... 
人类简史-从动物到上帝,https://img9.doubanio.com/view/subject/s/public/s29802866.jpg,9.1,科技,24579,[以] 尤瓦尔·赫拉利/林俊宏,中信出版集团,中信,0,【内容简介】十万年前，地球上至少有六种不同的人，但今日，世界舞台为什么只剩下我们自己？从只能啃食虎狼吃剩残骨的猿人，到跃居食物链顶端的智人，从雪维洞... 
人体简史-你的身体30亿岁了,https://img9.doubanio.com/view/subject/s/public/s33677194.jpg,8.6,科技,2270,[英] 比尔·布莱森/闾佳,文汇出版社,文汇,0,你的身体30亿岁了！一部从头讲到脚、从里讲到外、从30亿年前讲到今天的人体百科全书！从30亿年前漂浮在浅海里的单细胞斑点开始，制造你身体的基因就已经存在... 
上帝掷骰子吗-量子物理史话,https://img9.doubanio.com/view/subject/s/public/s1486674.jpg,9.2,科技,26813,曹天元,辽宁教育出版社,辽宁教育,32,《上帝掷骰子吗》这本书是关于量子论的故事。量子论是一个极为奇妙的理论：从物理角度来说，它在科学家中间引起了最为激烈的争议和关注；从现实角度来说，它给我们的社... 
哥德尔、艾舍尔、巴赫-集异璧之大成,https://img1.doubanio.com/view/subject/s/public/s1789059.jpg,9.4,科技,6951,[美] 侯世达,商务印书馆,商务印书馆,0,集异璧－GEB，是数学家哥德尔、版画家艾舍尔、音乐家巴赫三个名字的前缀。《哥德尔、艾舍尔、巴赫书：集异璧之大成》是在英语世界中有极高评价的科普著作，曾获得普... 
肠子的小心思,https://img1.doubanio.com/view/subject/s/public/s28381539.jpg,8.9,科技,8325,【德】朱莉娅·恩德斯/钱为,江苏凤凰科学技术出版社,江苏凤凰科学技术,0,【内容简介】《肠子的小心思》是德国图书界的黑马，口嫌体正直的德国人，一面对粑粑说着“不要不要”，一面看得好污好欢乐。原来，德国人觉得理所当然的马桶竟是痔疮... 
从一到无穷大-科学中的事实和臆测,https://img3.doubanio.com/view/subject/s/public/s2516920.jpg,9.1,科技,11246,[美] G. 伽莫夫/暴永宁 译、吴伯泽 校,科学出版社,科学,0,《从一到无穷大：科学中的事实和臆测》是当今世界最有影响的科普经典名著之一，1970年代末由科学出版社引进出版后，曾在国内引起很大反响，直接影响了众多的科普工... 
最好的告别-关于衰老与死亡，你必须知道的常识,https://img3.doubanio.com/view/subject/s/public/s28355811.jpg,9.0,科技,31951,[美] 阿图·葛文德（Atul Gawande）/彭小华,浙江人民出版社,浙江人民,0,当独立、自助的生活不能再维持时，我们该怎么办？在生命临近终点的时刻，我们该和医生谈些什么？应该如何优雅地跨越生命的终点？对于这些问题，大多数人缺少清晰的观念... 
微积分的力量,https://img1.doubanio.com/view/subject/s/public/s33823248.jpg,8.7,科技,156,【美】史蒂夫·斯托加茨（Steven Strogatz）/任烨,中信出版集团,中信,0,微积分是人类历史上的伟大思想成就之一，也是数学领域不可或缺的一个重要分支。除此之外，我们更应该关注的事实是：如果没有微积分，人类就不可能发明电视、微波炉、移... 
鳗鱼的旅行-一场对目标与意义的探寻,https://img3.doubanio.com/view/subject/s/public/s33737440.jpg,8.8,科技,2442,[瑞典] 帕特里克•斯文松/徐昕,湖南文艺出版社&博集天卷,湖南文艺,0,一本和鳗鱼一样难以被定义的奇书，关于鳗鱼，更关于生命本身：从鳗鱼笨拙又浪漫的生命之旅，抵达深刻又感动的生命之谜瑞典现象级畅销书，出版3个月印量高达... 
刑法学讲义,https://img3.doubanio.com/view/subject/s/public/s33699210.jpg,8.4,科技,3265,罗翔,云南人民出版社,云南人民,68,全网爆红的“法律男神”罗翔教授为每一位普通读者写的刑法普及讲义。刑法与每个人的生活都密不可分，家庭、校园、职场、人际关系、经济活动处处都有违法犯罪行为，相... 
众病之王-癌症传,https://img1.doubanio.com/view/subject/s/public/s24598159.jpg,9.1,科技,9823,[美] 悉达多·穆克吉/李虎,中信出版社,中信,0,《众病之王：癌症传》是一部饱含人文主义色彩的社科文化著作。作者悉达多•穆克吉历时六年，凭借翔实的历史资料、专业文献、媒体报道、患者专访等众多信息，向读者阐述... 
哲学家们都干了些什么-史上最严谨又最不严肃的哲学史,https://img9.doubanio.com/view/subject/s/public/s28073424.jpg,8.6,科技,19315,林欣浩,北京联合出版公司,北京联合,52,“哲学史写得这么浅白风趣八卦，你让我们哲学系的人还怎么混？！”轰动豆瓣的奇葩之书，连续三年蝉联豆瓣电子阅读榜第一的神作经作者全面修订后，2015年重新问... 
枪炮、病菌与钢铁-人类社会的命运,https://img2.doubanio.com/view/subject/s/public/s1738643.jpg,8.7,科技,37907,[美] 贾雷德·戴蒙德/谢延光,上海世纪出版集团,上海世纪,0,为什么是欧亚大陆人征服、赶走或大批杀死印第安人、澳大利亚人和非洲人，而不是相反？为什么么小麦和玉米、牛和猪以及现代世界的其他一些“不了起的”作物和牲畜出现在... 
